employee_id,review_date,performance_rating,review_cycle,promotion_recommendation,goal_achievement_score,reviewer_id
E01997,2025-06-13,High Performer,2025-H1,True,76.9,E07676
E02051,2024-06-09,Meets Expectations,2024-H1,False,57.8,E14091
E02051,2024-12-20,Meets Expectations,2024-H2,False,55.0,E14091
E02051,2025-06-21,Meets Expectations,2025-H1,False,54.6,E14091
E02071,2024-06-22,High Performer,2024-H1,False,80.5,E01644
E02071,2024-12-02,High Performer,2024-H2,False,83.2,E01644
E02071,2025-05-21,Outstanding,2025-H1,False,85.2,E01644
E02183,2024-06-23,Meets Expectations,2024-H1,False,74.6,E01281
E02183,2024-11-20,High Performer,2024-H2,False,73.7,E01281
E02183,2025-06-04,High Performer,2025-H1,False,84.0,E01281
E02631,2024-05-15,Below Expectations,2024-H1,False,44.6,E12716
E02663,2024-05-26,Unsatisfactory,2024-H1,False,34.5,E11587
E02663,2024-12-06,Outstanding,2024-H2,False,87.3,E11587
E02688,2024-06-11,High Performer,2024-H1,False,69.3,E03615
E02850,2024-05-26,Meets Expectations,2024-H1,False,60.8,E11957
E03040,2024-06-01,Outstanding,2024-H1,False,91.1,E12311
E03101,2024-05-23,High Performer,2024-H1,False,63.6,E00587
E03214,2024-06-15,Outstanding,2024-H1,False,84.3,E00029
E03214,2024-11-18,High Performer,2024-H2,False,74.6,E00029
E03242,2024-06-28,High Performer,2024-H1,True,75.7,E07777
E03242,2024-12-21,Outstanding,2024-H2,False,92.3,E07777
E03243,2024-05-15,High Performer,2024-H1,False,89.4,E07291
E03243,2024-12-28,High Performer,2024-H2,False,62.7,E07291
E03243,2025-05-23,High Performer,2025-H1,False,72.3,E07291
E03332,2024-06-22,Meets Expectations,2024-H1,False,60.4,E12277
E03375,2024-06-23,Outstanding,2024-H1,True,87.2,E00597
E03580,2024-06-20,High Performer,2024-H1,False,89.0,E02432
E03580,2024-11-26,High Performer,2024-H2,False,57.5,E02432
E03581,2024-06-19,Meets Expectations,2024-H1,False,61.4,E10879
E03581,2024-11-20,High Performer,2024-H2,False,71.1,E10879
E03653,2024-05-30,Outstanding,2024-H1,False,85.2,E09355
E03653,2024-12-28,Meets Expectations,2024-H2,False,71.5,E09355
E03700,2024-06-16,Below Expectations,2024-H1,False,24.9,E01208
E03700,2024-11-28,Meets Expectations,2024-H2,False,74.4,E01208
E04087,2024-05-30,Meets Expectations,2024-H1,False,65.0,E01432
E04099,2024-06-16,Outstanding,2024-H1,False,88.0,E04153
E04099,2024-12-05,High Performer,2024-H2,False,70.8,E04153
E04122,2024-05-17,Meets Expectations,2024-H1,False,55.4,E02448
E04223,2024-05-17,Outstanding,2024-H1,False,96.8,E03199
E04223,2024-11-21,Outstanding,2024-H2,False,81.9,E03199
E04410,2024-06-25,Outstanding,2024-H1,True,84.9,E11777
E04410,2024-12-03,High Performer,2024-H2,False,82.4,E11777
E04410,2025-06-04,Meets Expectations,2025-H1,False,56.6,E11777
E04544,2024-06-24,Unsatisfactory,2024-H1,False,26.1,E04911
E04544,2024-11-12,Meets Expectations,2024-H2,False,57.6,E04911
E04725,2024-06-05,Meets Expectations,2024-H1,False,53.9,E03029
E04735,2024-06-25,High Performer,2024-H1,True,91.8,E00494
E04735,2024-12-16,Outstanding,2024-H2,False,83.5,E00494
E04735,2025-06-01,Meets Expectations,2025-H1,False,62.4,E00494
E04905,2024-05-24,Outstanding,2024-H1,False,88.7,E05551
E05010,2024-05-28,Meets Expectations,2024-H1,False,64.0,E03057
E05010,2024-12-22,Outstanding,2024-H2,False,72.0,E03057
E05048,2024-06-26,High Performer,2024-H1,False,75.6,E00633
E05048,2024-11-20,High Performer,2024-H2,False,74.2,E00633
E05048,2025-05-19,High Performer,2025-H1,False,69.3,E00633
E05063,2024-05-22,Meets Expectations,2024-H1,False,65.0,E01602
E05633,2024-06-04,Below Expectations,2024-H1,False,32.6,E10810
E05633,2024-11-19,Below Expectations,2024-H2,False,48.9,E10810
E05633,2025-06-29,High Performer,2025-H1,False,78.8,E10810
E05701,2024-06-03,High Performer,2024-H1,False,91.0,E02881
E05701,2024-11-20,Outstanding,2024-H2,False,95.5,E02881
E05701,2025-06-18,Outstanding,2025-H1,False,89.9,E02881
E05714,2024-06-16,High Performer,2024-H1,True,72.2,E00839
E05714,2024-11-13,Meets Expectations,2024-H2,False,66.3,E00839
E05802,2024-06-22,High Performer,2024-H1,False,60.8,E03131
E05891,2024-06-12,Below Expectations,2024-H1,False,48.9,E02883
E05891,2024-11-18,Meets Expectations,2024-H2,False,69.8,E02883
E05891,2025-06-10,Meets Expectations,2025-H1,False,62.6,E02883
E06184,2024-06-17,Outstanding,2024-H1,False,85.2,E02199
E06184,2024-11-12,High Performer,2024-H2,False,78.2,E02199
E06338,2024-05-25,Meets Expectations,2024-H1,False,53.1,E13955
E06338,2024-12-09,Outstanding,2024-H2,False,80.2,E13955
E06338,2025-05-28,Meets Expectations,2025-H1,False,64.8,E13955
E06534,2024-05-20,Outstanding,2024-H1,False,87.7,E03349
E06534,2024-11-30,High Performer,2024-H2,False,74.5,E03349
E06618,2024-05-26,High Performer,2024-H1,False,84.1,E14258
E06618,2024-11-13,Meets Expectations,2024-H2,False,63.7,E14258
E06969,2024-06-13,Outstanding,2024-H1,False,74.4,E03290
E06969,2024-11-30,Meets Expectations,2024-H2,False,41.6,E03290
E06969,2025-06-02,Outstanding,2025-H1,False,97.1,E03290
E07045,2024-05-15,Meets Expectations,2024-H1,False,61.9,E02164
E07045,2024-11-12,Meets Expectations,2024-H2,False,60.1,E02164
E07126,2024-05-22,High Performer,2024-H1,True,78.5,E04875
E07128,2024-05-22,Meets Expectations,2024-H1,False,55.1,E01712
E07128,2024-11-14,Meets Expectations,2024-H2,False,71.5,E01712
E07230,2024-06-14,Meets Expectations,2024-H1,False,55.7,E00697
E07230,2024-12-19,Outstanding,2024-H2,True,77.6,E00697
E07230,2025-05-31,Below Expectations,2025-H1,False,61.2,E00697
E07382,2024-06-05,Meets Expectations,2024-H1,False,56.5,E01741
E07382,2024-12-26,High Performer,2024-H2,False,90.6,E01741
E07422,2024-05-14,High Performer,2024-H1,True,88.2,E06782
E07422,2024-11-18,High Performer,2024-H2,False,79.8,E06782
E07489,2024-05-16,Outstanding,2024-H1,True,89.5,E04174
E07489,2024-11-12,Meets Expectations,2024-H2,False,58.4,E04174
E07595,2024-06-10,Below Expectations,2024-H1,False,43.9,E03363
E07625,2024-06-22,Outstanding,2024-H1,False,82.3,E06357
E07625,2024-12-14,Meets Expectations,2024-H2,False,57.0,E06357
E07698,2024-06-15,Meets Expectations,2024-H1,False,68.4,E13314
E07698,2024-12-01,Outstanding,2024-H2,False,86.9,E13314
E07791,2024-06-21,Meets Expectations,2024-H1,False,67.7,E01417
E07791,2024-11-14,High Performer,2024-H2,False,80.2,E01417
E08000,2024-05-22,High Performer,2024-H1,False,72.0,E05579
E08000,2024-11-24,High Performer,2024-H2,False,82.8,E05579
E08000,2025-05-29,Meets Expectations,2025-H1,False,64.2,E05579
E08061,2024-06-06,Below Expectations,2024-H1,False,45.0,E02100
E08061,2024-11-14,High Performer,2024-H2,False,71.8,E02100
E08293,2024-06-15,Below Expectations,2024-H1,False,55.8,E02109
E08569,2024-06-01,Meets Expectations,2024-H1,False,48.4,E00453
E08569,2024-12-22,Meets Expectations,2024-H2,False,62.1,E00453
E08569,2025-06-03,High Performer,2025-H1,False,67.4,E00453
E08809,2024-05-18,Meets Expectations,2024-H1,False,90.1,E02163
E08809,2024-11-14,High Performer,2024-H2,False,77.5,E02163
E08809,2025-06-13,Meets Expectations,2025-H1,False,55.2,E02163
E08846,2024-05-22,Outstanding,2024-H1,True,96.1,E05735
E08890,2024-05-31,Meets Expectations,2024-H1,False,60.8,E01351
E09353,2024-05-14,Outstanding,2024-H1,True,88.8,E01394
E09456,2024-05-25,High Performer,2024-H1,False,81.9,E01596
E09456,2024-11-22,Meets Expectations,2024-H2,False,61.4,E01596
E09456,2025-05-16,Meets Expectations,2025-H1,False,61.9,E01596
E09471,2024-05-19,Meets Expectations,2024-H1,False,71.2,E02085
E09498,2024-05-19,Below Expectations,2024-H1,False,44.9,E07814
E09498,2024-12-24,Outstanding,2024-H2,True,71.0,E07814
E09498,2025-06-01,High Performer,2025-H1,True,59.9,E07814
E09635,2024-06-01,High Performer,2024-H1,True,76.0,E02377
E09635,2024-12-20,Meets Expectations,2024-H2,False,63.3,E02377
E10173,2024-06-11,High Performer,2024-H1,False,72.2,E04998
E10197,2024-06-17,High Performer,2024-H1,True,61.5,E03257
E10197,2024-12-17,Outstanding,2024-H2,False,94.2,E03257
E10197,2025-05-25,Meets Expectations,2025-H1,False,70.8,E03257
E10246,2024-06-28,Meets Expectations,2024-H1,False,58.0,E00262
E10353,2024-06-01,Outstanding,2024-H1,True,85.7,E09029
E10353,2024-12-10,Meets Expectations,2024-H2,False,54.2,E09029
E10353,2025-05-17,Meets Expectations,2025-H1,False,67.7,E09029
E10435,2024-06-29,High Performer,2024-H1,False,64.1,E12251
E10435,2024-11-29,Meets Expectations,2024-H2,False,77.2,E12251
E10435,2025-06-04,Meets Expectations,2025-H1,False,78.8,E12251
E10491,2024-06-24,Meets Expectations,2024-H1,False,67.6,E00177
E10491,2024-12-25,Meets Expectations,2024-H2,False,57.4,E00177
E10491,2025-05-17,High Performer,2025-H1,False,60.2,E00177
E10552,2024-05-22,Meets Expectations,2024-H1,False,69.5,E02554
E10552,2024-12-25,Meets Expectations,2024-H2,False,65.0,E02554
E10760,2024-06-01,High Performer,2024-H1,True,74.2,E02072
E11111,2024-06-15,High Performer,2024-H1,True,76.5,E12587
E11111,2024-12-07,High Performer,2024-H2,True,71.5,E12587
E11188,2024-06-08,Meets Expectations,2024-H1,False,67.6,E01691
E11188,2024-11-24,Meets Expectations,2024-H2,False,59.5,E01691
E11188,2025-05-22,Meets Expectations,2025-H1,False,65.2,E01691
E11197,2024-05-25,Outstanding,2024-H1,True,81.8,E00360
E11197,2024-12-28,High Performer,2024-H2,True,81.2,E00360
E11464,2024-06-10,Meets Expectations,2024-H1,False,59.3,E11737
E11464,2024-12-28,High Performer,2024-H2,True,76.0,E11737
E11478,2024-05-28,High Performer,2024-H1,False,78.6,E10022
E11478,2024-12-21,Meets Expectations,2024-H2,False,64.0,E10022
E11478,2025-05-26,High Performer,2025-H1,True,80.7,E10022
E11517,2024-06-21,Outstanding,2024-H1,False,94.5,E13593
E11517,2024-11-27,Meets Expectations,2024-H2,False,70.2,E13593
E11555,2024-06-24,High Performer,2024-H1,False,82.8,E02949
E11555,2024-12-25,High Performer,2024-H2,False,73.0,E02949
E11555,2025-06-10,High Performer,2025-H1,False,70.2,E02949
E11642,2024-06-27,Meets Expectations,2024-H1,False,65.0,E04056
E11642,2024-12-01,High Performer,2024-H2,True,83.3,E04056
E11727,2024-06-13,Meets Expectations,2024-H1,False,68.4,E03106
E11737,2024-06-20,Meets Expectations,2024-H1,False,57.8,E04595
E11905,2024-06-29,High Performer,2024-H1,True,79.7,E02240
E11905,2024-12-14,High Performer,2024-H2,False,58.4,E02240
E11905,2025-05-15,Meets Expectations,2025-H1,False,51.0,E02240
E11925,2024-06-28,High Performer,2024-H1,True,82.0,E04046
E11970,2024-06-28,Outstanding,2024-H1,False,79.9,E06513
E11981,2024-06-25,Below Expectations,2024-H1,False,44.0,E02247
E11981,2024-11-22,Meets Expectations,2024-H2,False,68.5,E02247
E12082,2024-12-06,Meets Expectations,2024-H2,False,53.4,E12897
E12082,2025-05-26,Outstanding,2025-H1,True,79.3,E12897
E12114,2024-12-18,High Performer,2024-H2,False,74.1,E02591
E12114,2025-05-15,Meets Expectations,2025-H1,False,66.0,E02591
E12284,2024-11-30,High Performer,2024-H2,False,60.6,E00727
E12284,2025-05-16,Meets Expectations,2025-H1,False,53.9,E00727
E12400,2024-12-17,Meets Expectations,2024-H2,False,61.7,E04788
E12400,2025-05-18,High Performer,2025-H1,False,90.9,E04788
E12709,2024-12-29,Below Expectations,2024-H2,False,42.8,E05804
E13055,2024-12-14,Below Expectations,2024-H2,False,36.7,E02885
E13055,2025-06-10,Meets Expectations,2025-H1,False,60.5,E02885
E13178,2024-12-18,High Performer,2024-H2,False,74.0,E01158
E13191,2024-11-16,Meets Expectations,2024-H2,False,58.5,E14058
E13222,2024-12-21,High Performer,2024-H2,False,64.5,E08608
E13222,2025-05-20,Meets Expectations,2025-H1,False,76.9,E08608
E13448,2025-06-12,Outstanding,2025-H1,False,84.9,E01725
E13853,2025-05-25,Meets Expectations,2025-H1,False,79.1,E09167
E14117,2025-05-30,High Performer,2025-H1,True,78.0,E02113
E14155,2025-06-15,Outstanding,2025-H1,False,82.4,E02552
E14192,2025-06-17,Below Expectations,2025-H1,False,45.0,E07180
E14285,2025-06-25,Below Expectations,2025-H1,False,35.6,E01633
E14300,2025-06-20,High Performer,2025-H1,False,72.4,E07594
E14346,2025-06-08,Outstanding,2025-H1,True,84.3,E05009
E14366,2025-06-10,High Performer,2025-H1,False,92.5,E13458
E00156,2024-03-14,Meets Expectations,2024-H1,False,59.7,E00273
E00273,2024-03-24,Below Expectations,2024-H1,False,37.9,E08830
E00861,2024-03-25,Below Expectations,2024-H1,False,53.0,E01502
E00891,2024-03-08,Below Expectations,2024-H1,False,53.7,E14118
E01535,2024-04-08,High Performer,2024-H1,False,69.2,E01474
E02388,2024-04-29,Meets Expectations,2024-H1,False,59.5,E01230
E02805,2024-03-10,High Performer,2024-H1,False,76.3,E05666
E02980,2024-02-24,Meets Expectations,2024-H1,False,73.6,E02692
E04412,2024-03-21,High Performer,2024-H1,False,71.0,E03096
E04554,2024-03-20,High Performer,2024-H1,False,67.7,E14012
E04680,2024-02-15,High Performer,2024-H1,False,91.8,E10303
E04865,2024-03-15,High Performer,2024-H1,False,68.9,E10049
E05373,2024-02-28,Meets Expectations,2024-H1,False,70.2,E07521
E06155,2024-02-15,Meets Expectations,2024-H1,False,68.8,E13519
E06669,2024-02-01,Meets Expectations,2024-H1,False,38.7,E10672
E06722,2024-04-04,Meets Expectations,2024-H1,False,72.3,E00130
E06780,2024-04-19,High Performer,2024-H1,False,78.6,E01615
E07420,2024-02-07,High Performer,2024-H1,False,81.8,E03427
E07838,2024-03-28,Below Expectations,2024-H1,False,39.1,E01194
E07884,2024-03-28,Meets Expectations,2024-H1,False,81.4,E01300
E08622,2024-04-11,Below Expectations,2024-H1,False,46.3,E11414
E12151,2024-07-07,Below Expectations,2024-H1,False,43.7,E13584
E12286,2024-07-15,Meets Expectations,2024-H1,False,67.2,E02616
E12374,2024-07-20,Meets Expectations,2024-H1,False,66.0,E05974
E12449,2024-07-24,Meets Expectations,2024-H1,False,50.7,E00506
E12602,2024-08-02,Meets Expectations,2024-H1,False,54.9,E00064
E12667,2024-08-06,Meets Expectations,2024-H1,False,75.3,E02004
E12742,2024-08-10,Meets Expectations,2024-H1,False,65.4,E01678
E13017,2024-08-28,Meets Expectations,2024-H1,False,74.5,E02310
E13132,2024-09-04,Meets Expectations,2024-H1,False,59.2,E03208
E13285,2025-01-29,Meets Expectations,2024-H1,False,66.8,E01358
E13301,2025-02-23,Below Expectations,2024-H1,False,43.3,E14461
E13314,2025-03-19,High Performer,2024-H1,False,77.8,E07493
E13370,2025-04-08,Outstanding,2024-H1,True,88.0,E00933
E13388,2025-04-09,Meets Expectations,2024-H1,False,63.1,E07104
E14467,2025-11-04,Meets Expectations,2024-H1,False,67.0,E03136
