employee_id,wave_number,survey_date,response_flag,manager_effectiveness,psychological_safety,recognition,career_development,senior_leadership_trust,purpose_meaning,wellbeing,confidence_in_role_future
E01140,5,2025-08-02,True,4.4,3.19,2.58,4.12,4.66,2.48,3.67,3.52
E01249,1,2024-02-27,True,4.18,4.17,2.7,3.14,4.14,4.62,3.06,4.26
E01249,2,2024-06-29,True,4.68,3.42,2.85,3.58,3.46,3.48,2.59,4.58
E01302,1,2024-03-05,True,2.86,4.65,2.68,3.58,4.81,3.76,4.02,2.46
E01302,2,2024-06-29,True,3.44,4.16,3.87,3.52,4.4,3.24,4.0,3.93
E01365,1,2024-02-24,True,4.35,3.24,4.76,4.95,3.85,3.8,3.55,3.6
E01365,2,2024-07-05,True,5.0,4.24,5.0,4.84,3.49,4.12,4.36,3.46
E01365,3,2024-10-01,True,4.07,4.08,4.61,5.0,3.53,3.89,3.56,3.23
E01365,4,2025-02-01,False,,,,,,,,
E01522,1,2024-02-28,True,1.58,2.83,2.83,1.98,1.91,1.4,1.75,2.15
E01522,2,2024-07-04,False,,,,,,,,
E01522,3,2024-09-12,False,,,,,,,,
E01522,4,2025-02-05,False,,,,,,,,
E01522,5,2025-07-29,False,,,,,,,,
E01535,1,2024-03-06,True,3.0,3.88,4.57,3.51,4.0,3.44,3.92,3.88
E01686,1,2024-03-07,True,1.13,2.62,2.99,3.4,3.03,3.96,3.23,2.8
E01686,2,2024-07-07,True,1.1,3.58,2.48,3.09,1.67,3.91,3.37,2.34
E01686,3,2024-10-15,True,1.0,2.36,2.79,2.71,1.71,4.09,3.15,2.88
E01686,4,2025-02-03,True,1.54,2.32,2.58,3.64,3.05,3.61,3.49,4.05
E01730,1,2024-02-27,True,2.52,2.03,3.58,3.14,4.72,2.87,4.86,4.71
E01730,2,2024-06-28,False,,,,,,,,
E01730,3,2024-10-28,True,3.17,2.17,3.88,3.79,4.82,3.26,4.75,4.78
E01730,4,2025-01-28,True,2.78,2.7,3.98,3.79,4.01,3.35,5.0,4.35
E01730,5,2025-08-08,True,2.04,2.58,3.48,3.22,4.36,4.14,4.22,5.0
E01788,1,2024-02-24,True,3.17,2.99,2.6,2.27,1.6,3.43,3.75,3.27
E01788,2,2024-07-02,True,3.36,3.21,2.88,3.31,2.68,3.82,3.07,4.13
E01788,3,2024-09-20,True,3.6,3.85,3.22,2.32,3.11,2.39,3.27,3.95
E01788,4,2025-02-08,True,2.01,3.33,3.14,2.14,3.08,2.5,4.36,4.51
E01910,1,2024-02-23,True,4.03,4.41,2.96,2.56,3.16,4.96,2.95,3.74
E01910,2,2024-07-08,False,,,,,,,,
E01997,1,2024-02-29,True,2.55,2.22,3.39,3.09,3.03,2.82,2.53,1.95
E01997,2,2024-06-30,True,2.73,2.17,2.68,3.04,3.33,2.63,2.73,2.36
E01997,3,2024-09-09,False,,,,,,,,
E01997,4,2025-01-26,False,,,,,,,,
E02051,1,2024-02-25,True,3.84,4.41,2.66,3.56,3.47,2.63,2.29,4.55
E02051,2,2024-06-28,False,,,,,,,,
E02051,3,2024-10-19,True,4.79,3.08,2.07,2.35,4.07,2.31,2.43,3.99
E02051,4,2025-02-07,True,3.17,5.0,1.84,3.08,3.29,2.85,2.32,4.8
E02051,5,2025-07-25,True,3.2,3.4,2.59,3.41,4.17,2.49,1.67,3.92
E02071,1,2024-03-07,True,3.09,3.53,1.91,2.65,4.29,3.41,3.47,3.28
E02071,2,2024-06-25,True,3.37,3.62,2.06,2.03,4.41,3.75,3.34,3.38
E02071,3,2024-10-29,True,3.31,3.32,2.45,2.95,4.36,3.32,3.3,3.7
E02071,4,2025-01-26,True,3.5,4.5,2.7,3.46,4.49,2.19,1.87,3.1
E02071,5,2025-08-03,True,2.62,4.6,2.16,3.9,3.59,2.7,1.59,4.09
E02183,1,2024-03-07,True,3.16,1.83,3.94,2.63,3.29,3.71,3.23,3.5
E02183,2,2024-06-30,True,4.44,2.44,3.05,2.59,3.7,2.86,2.3,3.04
E02183,3,2024-09-08,True,3.76,1.68,3.5,2.24,4.02,2.5,2.45,3.66
E02183,4,2025-02-03,False,,,,,,,,
E02183,5,2025-08-04,True,2.91,1.0,3.64,2.57,3.61,1.31,2.07,3.42
E02388,1,2024-03-01,True,1.41,2.79,2.19,1.03,1.75,2.7,2.72,2.2
E02631,1,2024-03-05,False,,,,,,,,
E02663,1,2024-02-23,False,,,,,,,,
E02663,2,2024-06-30,True,3.01,3.68,3.9,4.19,5.0,4.53,4.03,2.82
E02663,3,2024-10-04,True,3.59,3.97,4.24,3.7,3.64,4.27,3.15,4.08
E02663,4,2025-01-29,True,3.16,3.61,4.69,3.12,4.28,4.32,2.56,4.1
E02688,1,2024-02-29,False,,,,,,,,
E02688,2,2024-07-02,True,4.18,3.66,2.11,3.99,3.29,3.08,1.96,3.51
E02805,1,2024-03-07,True,4.48,2.81,3.32,3.48,3.09,3.44,3.33,3.34
E02850,1,2024-03-02,False,,,,,,,,
E02850,2,2024-07-02,True,3.23,2.13,2.11,2.0,2.48,2.9,2.97,2.93
E03040,1,2024-03-05,False,,,,,,,,
E03040,2,2024-07-07,True,2.88,3.42,3.44,3.58,3.87,3.83,5.0,4.31
E03040,3,2024-10-20,False,,,,,,,,
E03101,1,2024-03-08,True,2.9,3.77,4.77,3.76,4.38,3.9,4.67,3.95
E03101,2,2024-07-04,True,3.29,4.4,5.0,2.66,4.3,3.71,4.53,2.25
E03101,3,2024-10-11,True,3.33,3.81,4.81,3.17,3.89,5.0,4.63,2.8
E03214,1,2024-03-04,True,4.39,2.63,3.53,4.57,4.52,4.41,4.13,4.07
E03214,2,2024-07-04,True,3.35,2.22,3.46,4.47,4.85,3.0,3.39,2.71
E03214,3,2024-09-18,False,,,,,,,,
E03242,1,2024-03-05,True,3.62,3.21,3.21,4.42,4.38,2.62,3.53,4.26
E03242,2,2024-06-30,False,,,,,,,,
E03242,3,2024-09-03,True,4.04,3.12,3.91,3.64,4.54,4.23,3.05,3.32
E03242,4,2025-01-25,True,3.57,2.95,3.1,3.77,5.0,3.1,3.5,2.69
E03243,1,2024-02-29,False,,,,,,,,
E03243,2,2024-06-25,False,,,,,,,,
E03243,3,2024-10-21,True,4.28,2.28,1.56,2.17,2.64,2.42,2.92,2.15
E03243,4,2025-01-28,True,3.46,2.65,2.45,3.62,2.98,2.17,3.31,2.16
E03243,5,2025-08-05,True,3.73,2.47,2.16,3.13,3.31,2.1,3.02,1.84
E03332,1,2024-02-23,True,4.52,2.41,2.77,2.2,2.64,2.59,3.31,2.53
E03332,2,2024-06-24,True,4.15,1.86,3.51,2.83,3.18,2.84,2.5,2.56
E03375,1,2024-03-06,False,,,,,,,,
E03580,1,2024-02-26,True,2.51,3.29,4.0,2.62,3.23,3.77,3.83,3.62
E03580,2,2024-06-30,True,2.67,3.78,3.58,2.77,2.62,4.13,4.11,3.47
E03580,3,2024-10-07,True,3.11,2.86,5.0,2.09,3.53,4.2,3.62,3.2
E03580,4,2025-01-25,True,2.88,3.57,4.38,2.13,3.75,3.06,4.34,2.87
E03581,1,2024-03-06,False,,,,,,,,
E03581,2,2024-07-02,True,2.53,3.74,3.55,3.06,4.68,2.99,4.04,3.3
E03581,3,2024-10-24,False,,,,,,,,
E03653,1,2024-03-06,True,4.55,1.22,1.97,3.2,4.3,4.26,2.7,3.63
E03653,2,2024-06-24,True,3.66,1.43,2.58,2.54,3.73,4.47,2.8,3.33
E03653,3,2024-09-20,True,3.22,1.52,2.45,2.97,3.63,4.27,3.73,2.94
E03653,4,2025-02-06,True,2.66,1.37,2.02,3.6,3.93,4.33,2.84,3.69
E03700,1,2024-02-28,True,3.02,3.24,4.56,4.06,4.26,4.0,3.18,4.12
E03700,2,2024-07-02,True,2.61,3.43,4.86,4.38,3.98,3.5,4.2,4.33
E03700,3,2024-09-01,True,2.4,3.52,4.65,3.66,4.68,3.22,3.71,4.41
E03700,4,2025-02-05,True,2.81,3.9,4.45,4.07,4.99,3.35,3.31,4.41
E04087,1,2024-02-25,True,3.54,4.73,3.73,3.96,3.83,4.5,4.39,3.67
E04099,1,2024-02-27,True,3.27,2.46,4.29,2.97,2.85,2.79,3.05,3.7
E04099,2,2024-07-07,True,2.87,2.46,3.08,3.02,2.71,2.74,3.45,3.65
E04099,3,2024-10-12,True,2.92,2.65,2.91,3.02,2.67,3.06,2.47,3.01
E04122,1,2024-02-23,True,2.77,2.38,3.33,2.92,1.96,4.01,1.7,5.0
E04122,2,2024-06-24,False,,,,,,,,
E04223,1,2024-03-03,True,3.51,3.62,2.96,1.96,2.23,2.08,3.42,2.26
E04223,2,2024-07-07,True,2.97,3.39,2.01,1.89,1.94,2.15,3.32,3.05
E04223,3,2024-09-08,True,2.51,3.72,2.92,2.59,1.91,1.96,2.9,3.99
E04410,1,2024-02-26,True,3.65,3.22,4.85,3.92,3.76,4.82,5.0,2.39
E04410,2,2024-07-06,True,4.4,4.36,5.0,4.62,3.83,5.0,5.0,3.09
E04410,3,2024-10-03,True,4.3,3.74,4.86,4.76,4.12,3.73,5.0,2.79
E04410,4,2025-02-07,True,3.91,3.24,4.85,4.22,4.34,3.52,5.0,2.15
E04412,1,2024-02-29,True,3.73,3.85,4.24,4.38,3.04,2.3,4.74,3.9
E04544,1,2024-03-05,True,3.04,3.93,2.54,3.67,4.73,3.79,5.0,3.05
E04544,2,2024-07-01,True,3.09,3.98,3.34,3.49,4.41,3.77,4.95,3.76
E04544,3,2024-10-16,True,2.54,3.36,2.67,3.2,4.83,4.69,5.0,2.72
E04544,4,2025-01-28,True,3.02,2.48,2.89,3.76,4.46,4.21,4.88,3.16
E04554,1,2024-02-29,True,3.72,2.69,3.07,1.17,3.37,4.14,3.08,2.77
E04725,1,2024-02-24,True,5.0,3.41,4.0,4.55,3.09,4.57,4.49,4.96
E04725,2,2024-06-30,True,4.23,3.6,5.0,4.32,1.28,4.56,4.98,4.75
E04735,1,2024-03-03,False,,,,,,,,
E04735,2,2024-07-01,True,2.71,3.21,2.71,3.8,4.09,4.07,2.79,2.68
E04735,3,2024-10-29,False,,,,,,,,
E04735,4,2025-01-31,False,,,,,,,,
E04735,5,2025-08-01,False,,,,,,,,
E04865,1,2024-02-29,True,3.4,3.82,3.16,3.05,2.71,2.0,3.22,4.3
E04905,1,2024-02-24,True,4.1,3.28,2.23,4.89,3.55,2.96,3.96,3.49
E04905,2,2024-07-03,True,4.51,3.64,2.19,4.11,2.81,2.82,4.06,3.96
E05010,1,2024-02-27,True,3.36,3.3,3.1,3.45,4.72,4.47,4.44,3.59
E05010,2,2024-07-02,True,2.86,4.51,2.91,3.27,4.68,4.9,4.87,3.93
E05010,3,2024-10-06,False,,,,,,,,
E05048,1,2024-03-03,False,,,,,,,,
E05048,2,2024-06-26,False,,,,,,,,
E05048,3,2024-10-24,True,2.85,3.72,4.23,4.43,3.52,4.79,1.93,1.95
E05048,4,2025-02-07,False,,,,,,,,
E05048,5,2025-07-27,False,,,,,,,,
E05063,1,2024-03-04,True,4.29,3.22,3.3,3.96,4.56,3.72,4.32,2.23
E05063,2,2024-07-02,True,3.9,4.34,2.93,3.55,4.03,4.11,4.61,2.4
E05633,1,2024-02-28,False,,,,,,,,
E05633,2,2024-07-03,True,2.56,2.11,3.48,3.76,2.81,1.69,3.86,2.98
E05633,3,2024-09-18,True,3.26,2.41,2.48,3.76,3.52,1.54,3.76,2.25
E05633,4,2025-01-30,False,,,,,,,,
E05701,1,2024-02-24,True,2.5,2.62,3.43,3.36,2.38,2.93,3.43,2.42
E05701,2,2024-07-01,True,1.88,2.26,3.44,3.36,1.77,2.63,4.34,2.42
E05701,3,2024-09-15,True,2.06,2.0,2.77,3.56,1.72,3.02,3.72,2.46
E05701,4,2025-01-29,True,2.67,3.15,1.9,3.99,1.0,3.47,4.27,2.6
E05701,5,2025-08-06,True,2.57,2.82,1.35,3.36,1.26,2.32,4.97,2.43
E05714,1,2024-03-05,True,2.18,2.57,3.92,3.18,3.4,3.56,3.84,2.63
E05714,2,2024-07-08,True,1.43,2.12,4.55,3.76,3.28,3.85,3.97,3.01
E05714,3,2024-10-17,True,1.96,2.41,4.52,2.82,3.28,3.42,3.68,3.26
E05802,1,2024-03-02,True,3.92,4.33,3.63,4.64,4.0,5.0,3.07,3.76
E05802,2,2024-07-06,True,3.15,3.53,3.25,4.7,4.49,5.0,4.51,3.75
E05891,1,2024-02-23,True,3.3,4.05,2.95,2.44,3.08,3.01,3.7,3.63
E05891,2,2024-07-06,True,4.86,4.71,2.96,3.37,3.41,3.5,3.51,3.86
E05891,3,2024-10-26,False,,,,,,,,
E05891,4,2025-01-26,True,5.0,4.85,2.68,3.38,3.15,3.18,4.62,3.64
E06184,1,2024-03-01,True,2.87,1.09,2.27,2.26,1.87,2.38,2.7,4.8
E06184,2,2024-07-01,True,1.15,1.59,1.48,1.55,1.0,2.11,2.51,4.65
E06184,3,2024-10-09,True,1.2,1.2,2.23,1.87,2.41,1.27,2.38,5.0
E06338,1,2024-02-26,True,3.42,3.53,4.22,3.52,3.05,4.03,3.7,2.58
E06338,2,2024-07-04,True,3.61,4.02,3.63,3.18,2.8,4.17,3.92,3.32
E06338,3,2024-10-02,True,3.74,4.15,5.0,2.95,1.95,4.33,4.01,4.47
E06338,4,2025-02-01,True,4.03,4.16,3.86,3.54,1.7,4.4,4.97,3.08
E06534,1,2024-03-08,True,4.91,4.25,2.83,3.79,4.09,3.83,3.57,3.96
E06534,2,2024-07-01,True,4.18,3.27,2.83,3.98,4.27,3.43,3.9,4.44
E06534,3,2024-09-06,True,3.69,3.87,2.25,3.98,3.63,2.31,3.97,4.42
E06534,4,2025-02-06,True,4.0,4.56,2.71,4.17,3.89,2.86,3.02,3.19
E06618,1,2024-03-07,False,,,,,,,,
E06618,2,2024-06-28,True,2.09,3.16,2.43,3.39,2.24,2.19,3.4,3.33
E06618,3,2024-09-24,False,,,,,,,,
E06618,4,2025-01-27,True,2.93,2.1,2.73,3.45,1.69,2.16,3.25,3.72
E06722,1,2024-02-25,True,4.44,4.0,5.0,4.96,3.25,4.34,4.78,4.86
E06780,1,2024-03-05,False,,,,,,,,
E06969,1,2024-02-28,False,,,,,,,,
E06969,2,2024-06-25,True,3.79,2.97,2.63,2.3,3.9,3.1,2.8,4.04
E06969,3,2024-09-29,True,3.36,3.31,2.02,2.79,3.88,3.43,2.99,5.0
E06969,4,2025-02-07,True,2.7,4.05,2.79,3.23,4.66,3.75,3.64,4.26
E06969,5,2025-07-25,True,3.21,3.65,3.13,2.95,4.25,3.77,3.61,3.6
E07045,1,2024-03-05,False,,,,,,,,
E07045,2,2024-06-29,True,3.11,3.97,1.98,4.49,4.4,3.03,2.96,3.68
E07045,3,2024-10-11,False,,,,,,,,
E07045,4,2025-02-08,False,,,,,,,,
E07126,1,2024-02-26,True,4.18,3.53,2.96,2.54,2.59,3.22,1.69,1.0
E07128,1,2024-03-02,True,3.95,3.94,4.1,3.13,3.09,4.18,3.61,3.52
E07128,2,2024-06-27,True,3.12,4.73,3.98,3.17,3.35,4.13,3.46,4.63
E07128,3,2024-10-15,True,3.1,4.74,3.32,4.32,3.6,5.0,3.97,4.83
E07230,1,2024-02-26,True,3.34,2.95,3.22,4.14,3.08,4.5,3.0,3.11
E07230,2,2024-06-28,True,2.99,4.11,3.56,4.19,2.68,4.39,2.85,3.43
E07230,3,2024-10-03,True,2.62,3.05,3.15,3.92,3.63,3.15,2.68,3.19
E07230,4,2025-02-06,False,,,,,,,,
E07382,1,2024-03-08,True,4.74,4.82,4.61,5.0,3.59,3.62,3.76,4.07
E07382,2,2024-07-01,True,4.95,3.73,5.0,5.0,3.87,2.74,4.03,3.03
E07382,3,2024-09-09,False,,,,,,,,
E07382,4,2025-01-28,True,5.0,3.43,5.0,4.74,3.86,2.61,4.54,3.32
E07422,1,2024-03-07,True,3.8,3.19,4.31,4.28,3.22,4.02,2.74,4.51
E07422,2,2024-06-30,True,4.22,4.2,4.95,4.12,3.25,4.92,2.71,3.94
E07422,3,2024-10-22,True,4.12,4.22,5.0,3.09,3.09,4.46,3.45,3.82
E07422,4,2025-02-04,True,4.15,3.29,5.0,2.65,2.21,4.22,3.48,4.36
E07489,1,2024-03-06,False,,,,,,,,
E07489,2,2024-07-05,True,5.0,3.57,2.57,5.0,3.79,4.72,3.73,2.06
E07489,3,2024-09-25,True,3.79,3.07,1.29,5.0,3.39,3.94,3.54,2.86
E07489,4,2025-02-06,True,4.54,3.88,1.62,4.35,3.71,4.34,4.29,1.11
E07595,1,2024-02-23,True,2.74,1.42,3.82,4.07,3.6,4.59,2.86,3.12
E07595,2,2024-06-24,True,2.3,1.93,4.35,4.82,4.14,4.63,3.14,3.11
E07595,3,2024-10-10,True,1.28,2.63,3.43,5.0,3.26,4.58,4.21,3.01
E07625,1,2024-02-24,False,,,,,,,,
E07625,2,2024-06-28,True,4.77,4.14,3.12,3.68,3.86,3.94,3.87,2.89
E07625,3,2024-10-09,False,,,,,,,,
E07625,4,2025-01-27,True,3.89,5.0,3.52,4.12,4.86,3.95,3.66,3.23
E07698,1,2024-02-25,True,2.42,2.49,2.56,3.92,3.46,4.02,3.57,4.9
E07698,2,2024-07-06,False,,,,,,,,
E07698,3,2024-10-26,False,,,,,,,,
E07791,1,2024-02-24,True,1.69,2.86,3.16,2.56,2.77,2.08,1.33,2.51
E07791,2,2024-06-30,True,1.97,1.97,2.82,2.55,2.6,1.66,1.47,2.27
E07791,3,2024-09-05,False,,,,,,,,
E07838,1,2024-02-25,True,3.83,2.96,4.04,4.21,3.53,3.77,4.13,4.86
E07884,1,2024-03-03,True,3.03,3.84,2.07,2.04,2.99,2.79,3.79,2.16
E08000,1,2024-03-06,True,3.74,5.0,3.84,1.81,5.0,3.22,4.09,4.21
E08000,2,2024-06-30,True,3.73,5.0,3.24,1.3,4.17,2.71,2.6,3.42
E08000,3,2024-10-09,True,2.94,5.0,3.47,1.85,4.79,2.86,2.61,3.86
E08000,4,2025-01-25,True,2.12,5.0,4.3,2.33,3.87,3.85,2.67,3.14
E08061,1,2024-03-04,True,3.78,3.78,4.39,3.06,4.77,3.93,5.0,3.12
E08061,2,2024-06-28,True,4.84,4.3,3.99,1.9,5.0,5.0,4.81,3.31
E08061,3,2024-10-27,True,3.9,3.23,3.29,2.73,4.26,4.96,4.71,3.73
E08293,1,2024-02-29,True,3.97,4.66,3.25,2.37,3.02,4.31,4.83,3.75
E08293,2,2024-07-04,True,3.64,5.0,4.0,1.98,4.01,4.25,5.0,3.71
E08293,3,2024-09-18,True,3.54,3.54,3.58,3.22,4.41,3.97,4.66,4.29
E08569,1,2024-03-02,True,3.55,2.57,1.91,2.09,3.06,3.63,1.5,2.73
E08569,2,2024-06-30,True,1.95,3.05,1.55,2.19,2.53,3.82,1.43,3.27
E08569,3,2024-09-11,True,2.0,1.54,1.88,2.77,4.27,3.78,1.14,3.99
E08569,4,2025-02-01,True,2.22,2.81,2.01,3.48,3.88,4.12,1.0,3.94
E08622,1,2024-03-06,False,,,,,,,,
E08809,1,2024-03-03,False,,,,,,,,
E08809,2,2024-07-07,True,2.89,1.78,2.73,3.15,2.78,2.63,1.68,2.7
E08809,3,2024-09-11,True,2.76,1.1,3.77,2.43,2.55,2.28,1.7,2.62
E08809,4,2025-02-03,True,2.24,1.47,4.06,2.55,2.3,1.69,1.94,2.13
E08809,5,2025-08-04,True,2.11,1.27,2.87,2.62,1.82,2.22,1.59,2.5
E08846,1,2024-02-23,True,3.2,3.35,2.53,3.04,3.36,2.57,2.05,2.79
E08890,1,2024-02-24,False,,,,,,,,
E08890,2,2024-06-29,True,2.83,3.74,2.81,3.89,3.45,3.51,3.44,3.07
E08890,3,2024-09-24,True,2.0,4.52,3.6,4.6,3.26,3.67,3.46,4.48
E09353,1,2024-03-05,True,2.78,3.41,2.73,3.22,3.8,3.41,2.23,2.01
E09353,2,2024-06-29,False,,,,,,,,
E09456,1,2024-02-24,True,3.01,2.54,4.13,1.71,3.12,3.2,2.61,3.21
E09456,2,2024-06-29,True,1.85,3.5,2.72,2.54,2.03,4.64,3.3,2.34
E09456,3,2024-09-03,True,2.91,3.33,2.05,2.8,2.71,4.32,2.82,2.19
E09456,4,2025-01-27,False,,,,,,,,
E09471,1,2024-03-07,True,1.0,2.08,3.43,3.36,3.94,3.62,3.17,2.72
E09498,1,2024-03-07,True,4.1,3.14,4.31,3.06,2.9,3.68,2.45,3.67
E09498,2,2024-06-30,True,3.69,3.72,3.89,3.87,3.11,4.04,3.04,3.14
E09498,3,2024-10-17,False,,,,,,,,
E09498,4,2025-02-02,True,2.95,3.47,4.43,4.03,3.86,3.85,3.57,2.98
E09498,5,2025-07-27,False,,,,,,,,
E09635,1,2024-03-07,False,,,,,,,,
E09635,2,2024-07-06,False,,,,,,,,
E09635,3,2024-10-28,True,4.19,3.01,3.47,4.04,2.77,4.0,4.67,3.29
E09635,4,2025-01-25,False,,,,,,,,
E10173,1,2024-03-02,True,2.52,4.48,3.3,4.34,3.43,3.58,2.86,3.04
E10173,2,2024-07-01,True,3.27,4.64,3.2,5.0,2.07,2.85,1.85,3.31
E10173,3,2024-10-18,True,3.81,5.0,2.35,4.3,2.76,2.84,1.22,3.14
E10197,1,2024-02-23,True,3.14,4.03,2.54,2.79,2.58,2.64,1.64,2.07
E10197,2,2024-07-06,True,3.03,3.48,2.74,2.33,1.87,3.29,1.19,2.64
E10197,3,2024-09-29,True,4.22,3.17,2.86,2.08,2.81,3.01,1.7,1.86
E10197,4,2025-02-05,True,3.54,4.3,2.15,2.62,2.91,3.3,1.55,1.49
E10197,5,2025-07-25,True,3.13,4.16,2.43,2.6,2.21,3.18,1.61,1.76
E10246,1,2024-03-06,True,2.96,4.08,3.35,4.39,3.46,3.4,3.62,4.21
E10246,2,2024-06-27,True,3.0,4.43,3.35,4.63,2.39,3.19,3.46,4.33
E10246,3,2024-10-16,True,3.37,4.27,3.47,4.49,3.68,3.56,2.94,4.21
E10353,1,2024-03-04,True,2.02,3.53,2.94,2.96,2.38,3.54,2.75,2.78
E10353,2,2024-06-28,True,2.67,3.6,2.11,3.71,2.32,3.36,2.77,3.87
E10353,3,2024-10-03,True,2.16,3.84,2.86,3.94,2.28,2.86,2.78,2.97
E10353,4,2025-01-31,True,2.07,3.21,2.18,3.67,3.38,3.6,2.28,3.53
E10435,1,2024-03-06,True,3.55,1.62,1.46,3.23,3.49,1.6,2.11,4.2
E10435,2,2024-06-27,True,4.29,1.76,1.0,3.41,2.71,2.08,2.04,4.14
E10435,3,2024-09-23,True,3.99,2.12,1.54,3.87,2.27,2.8,2.79,3.03
E10435,4,2025-01-27,True,3.27,2.61,2.33,3.93,2.32,3.14,2.83,2.98
E10435,5,2025-08-08,True,3.85,2.24,3.37,5.0,2.22,2.61,3.25,3.13
E10491,1,2024-03-07,False,,,,,,,,
E10491,2,2024-07-01,False,,,,,,,,
E10491,3,2024-09-25,True,4.22,2.94,3.01,2.93,3.92,5.0,3.04,2.31
E10491,4,2025-01-26,False,,,,,,,,
E10491,5,2025-07-30,False,,,,,,,,
E10552,1,2024-02-23,True,4.13,4.3,1.5,2.97,2.51,3.35,3.95,3.46
E10552,2,2024-07-08,True,3.89,3.39,3.04,2.66,1.96,2.4,3.56,3.5
E10552,3,2024-09-09,True,3.6,3.8,2.38,2.54,2.32,2.06,3.49,3.1
E10760,1,2024-02-27,True,3.16,5.0,3.19,4.87,3.15,3.44,2.53,3.04
E10760,2,2024-06-26,True,3.8,4.21,2.58,4.46,2.98,2.66,2.06,3.38
E10760,3,2024-09-13,True,2.89,4.86,2.48,4.36,2.98,3.59,2.24,3.94
E11111,1,2024-02-27,True,4.83,3.74,3.52,2.69,5.0,4.6,3.01,4.9
E11111,2,2024-06-29,True,5.0,3.82,3.69,3.53,4.12,4.19,3.59,5.0
E11111,3,2024-09-08,False,,,,,,,,
E11188,2,2024-06-28,False,,,,,,,,
E11188,3,2024-09-15,True,2.59,3.18,3.56,4.66,4.67,3.88,4.62,4.1
E11188,4,2025-02-07,False,,,,,,,,
E11197,2,2024-07-03,True,3.5,4.64,3.07,3.0,2.91,3.52,2.81,2.93
E11197,3,2024-09-09,True,4.03,4.15,3.32,3.19,3.1,3.68,2.7,3.11
E11197,4,2025-01-26,True,3.37,4.69,2.92,4.13,4.03,3.22,2.7,4.3
E11464,2,2024-06-24,True,2.71,3.75,3.73,1.69,2.29,1.0,3.53,2.13
E11464,3,2024-10-19,True,2.72,3.68,3.87,1.38,1.91,1.0,3.64,2.12
E11478,2,2024-06-26,False,,,,,,,,
E11478,3,2024-10-04,True,1.95,1.99,2.58,3.07,3.05,1.78,3.16,3.42
E11478,4,2025-01-31,True,2.49,2.2,2.12,3.05,3.18,2.48,2.65,2.64
E11478,5,2025-08-02,False,,,,,,,,
E11517,2,2024-07-02,True,3.65,2.35,3.91,2.76,2.53,2.52,4.14,3.2
E11517,3,2024-10-19,True,4.24,3.04,3.38,2.45,2.5,2.37,4.38,3.09
E11517,4,2025-01-29,True,4.57,3.22,3.27,1.85,2.54,1.98,4.28,3.23
E11555,2,2024-06-28,False,,,,,,,,
E11555,3,2024-09-07,True,3.83,2.97,2.92,3.96,4.38,3.55,3.67,5.0
E11555,4,2025-01-31,False,,,,,,,,
E11642,2,2024-06-28,True,3.83,2.51,1.91,3.01,2.01,1.64,2.52,3.23
E11642,3,2024-09-26,True,4.17,2.52,2.62,2.73,2.65,3.26,2.68,3.19
